region_name,blank_map_source,locator_map_source,neighboring_regions,neighboring_countries,neighboring_oceans,member_divisions,member_states,source_notes
Northeast,,,"Midwest | South",Canada,Atlantic Ocean,"New England | Mid-Atlantic","Connecticut | Maine | Massachusetts | New Hampshire | Rhode Island | Vermont | New Jersey | New York | Pennsylvania","Seeded from Census regions/divisions listed on Wikipedia."
Midwest,,,"Northeast | South | West",Canada,,"East North Central | West North Central","Illinois | Indiana | Michigan | Ohio | Wisconsin | Iowa | Kansas | Minnesota | Missouri | Nebraska | North Dakota | South Dakota","Seeded from Census regions/divisions listed on Wikipedia."
South,,,"Northeast | Midwest | West",Mexico,"Atlantic Ocean | Gulf of Mexico","South Atlantic | East South Central | West South Central","Delaware | District of Columbia | Florida | Georgia | Maryland | North Carolina | South Carolina | Virginia | West Virginia | Alabama | Kentucky | Mississippi | Tennessee | Arkansas | Louisiana | Oklahoma | Texas","Seeded from Census regions/divisions listed on Wikipedia."
West,,,"Midwest | South",Canada | Mexico,"Pacific Ocean | Arctic Ocean","Mountain | Pacific","Arizona | Colorado | Idaho | Montana | Nevada | New Mexico | Utah | Wyoming | Alaska | California | Hawaii | Oregon | Washington","Seeded from Census regions/divisions listed on Wikipedia."
