division_name,region_name,blank_map_source,locator_map_source,neighboring_divisions,neighboring_countries,neighboring_oceans,member_states,state_border_summary,source_notes
New England,Northeast,,,"Mid-Atlantic",Canada,Atlantic Ocean,"Connecticut | Maine | Massachusetts | New Hampshire | Rhode Island | Vermont",TODO,"Seeded from Census regions/divisions listed on Wikipedia; per-state border summary still to be added."
Mid-Atlantic,Northeast,,,"New England | East North Central | South Atlantic",Canada,Atlantic Ocean,"New Jersey | New York | Pennsylvania",TODO,"Seeded from Census regions/divisions listed on Wikipedia; per-state border summary still to be added."
East North Central,Midwest,,,"Mid-Atlantic | West North Central | South Atlantic | East South Central",Canada,,"Illinois | Indiana | Michigan | Ohio | Wisconsin",TODO,"Seeded from Census regions/divisions listed on Wikipedia; per-state border summary still to be added."
West North Central,Midwest,,,"East North Central | East South Central | West South Central | Mountain",Canada,,"Iowa | Kansas | Minnesota | Missouri | Nebraska | North Dakota | South Dakota",TODO,"Seeded from Census regions/divisions listed on Wikipedia; per-state border summary still to be added."
South Atlantic,South,,,"Mid-Atlantic | East North Central | East South Central",,Atlantic Ocean,"Delaware | District of Columbia | Florida | Georgia | Maryland | North Carolina | South Carolina | Virginia | West Virginia",TODO,"Seeded from Census regions/divisions listed on Wikipedia; per-state border summary still to be added."
East South Central,South,,,"East North Central | West North Central | South Atlantic | West South Central",,,"Alabama | Kentucky | Mississippi | Tennessee",TODO,"Seeded from Census regions/divisions listed on Wikipedia; per-state border summary still to be added."
West South Central,South,,,"West North Central | East South Central | Mountain",Mexico,Gulf of Mexico,"Arkansas | Louisiana | Oklahoma | Texas",TODO,"Seeded from Census regions/divisions listed on Wikipedia; per-state border summary still to be added."
Mountain,West,,,"West North Central | West South Central | Pacific",Canada | Mexico,,"Arizona | Colorado | Idaho | Montana | Nevada | New Mexico | Utah | Wyoming",TODO,"Seeded from Census regions/divisions listed on Wikipedia; per-state border summary still to be added."
Pacific,West,,,"Mountain",Canada | Mexico,"Pacific Ocean | Arctic Ocean","Alaska | California | Hawaii | Oregon | Washington",TODO,"Seeded from Census regions/divisions listed on Wikipedia; per-state border summary still to be added."
